"lake","site","date","bottom_DRP_ugL","bottom_NH4_ugL","bottom_NO3_ugL","bottom_TN_ugL","bottom_TP_ugL","top_DRP_ugL","top_NH4_ugL","top_NO3_ugL","top_TN_ugL","top_TP_ugL","chla_ugL_INT","secchi_m","DN_DP","DN_TN","DP_TP","TN_TP"
"Rotoehu",3,2023-10-19,2.8,8.1,2.6,242.4,25,2.5,8.7,0,330.5,32.7,23.3,3.15,3.48,0.0263237518910741,0.0764525993883792,10.1070336391437
"Rotoehu",3,2023-11-23,2.1,8.8,0.7,385.9,35.6,3.7,7.5,0,377.2,32.6,24.5,3.85,2.02702702702703,0.0198833510074231,0.113496932515337,11.5705521472393
"Rotoehu",3,2023-12-21,4.5,8.1,1.4,251.3,31.7,7.4,4.7,6.7,343.2,39.6,19.8,4.3,1.54054054054054,0.0332167832167832,0.186868686868687,8.66666666666667
"Rotoehu",3,2024-01-16,90.9,328.7,4.6,580.1,120.4,5.4,2.9,4.4,271.7,31,10.1,3.1,1.35185185185185,0.0268678689731321,0.174193548387097,8.76451612903226
"Rotoehu",3,2024-02-20,28.7,39.5,3.6,331.2,57.9,15.3,7.6,4.9,359.7,50.1,19.2,2.45,0.816993464052288,0.0347511815401724,0.305389221556886,7.17964071856288
"Rotoehu",3,2024-03-19,12.6,36.9,15.5,363.9,46.1,13.6,41.1,15.8,370.2,45.7,8.6,2.65,4.18382352941176,0.153700702323069,0.297592997811816,8.10065645514223
"Rotoehu",3,2024-04-16,11.5,9.3,4.2,414,52.4,9.5,10.3,4.4,397.8,47.6,20.4,2.55,1.54736842105263,0.0369532428355958,0.199579831932773,8.35714285714286
"Rotoehu",3,2024-05-21,8.6,32.2,18.9,345.2,32.6,8.5,28.7,19.4,397.4,39.5,11,3.4,5.65882352941177,0.121036738802214,0.215189873417722,10.0607594936709
"Rotoehu",3,2024-06-17,3,4.1,3.3,317.8,28,2.9,2.4,3.7,334.9,28,9.1,2.6,2.10344827586207,0.0182143923559271,0.103571428571429,11.9607142857143
"Rotoehu",3,2024-07-16,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,8.8,2.4,NA,NA,NA,NA
