"lake","site","laketype","date","chla_ugL_INT","NH4_mgL","pH","secchi_m","TN_mgm3","TP_mgm3","depth_m","method","TN_TP"
"Rotoehu","3","Polymictic",2010-04-20,12.05,0.003,8.5,2.2,384.5,87.5,"0.1","integrated",4.39428571428571
"Rotoiti","Okawa","Stratified",2010-04-20,5.2,0.001,7.2,5.26,295,24,"0.1","integrated",12.2916666666667
"Rotoiti","3","Stratified",2010-04-20,7.3,0.001,7.1,7.62857142857143,191,17,"0.1","integrated",11.2352941176471
"Okataina","1","Stratified",2010-04-20,2.8,0.001,7.5,11.64,105,7,"0.1","integrated",15
"Rotorua","5","Polymictic",2010-04-21,NA,NA,NA,1.52,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2010-04-21,NA,NA,NA,1.5,NA,NA,"0.1","integrated",NA
"Okareka","1","Stratified",2010-04-21,2.7,0.001,7.2,6.85,279,9,"0.1","integrated",31
"Rotoehu","3","Polymictic",2010-04-21,13,0.005,8.4,2.175,429,96,"0.1","integrated",4.46875
"Tarawera","5","Stratified",2010-04-21,1.6,0.001,7.7,7.556,110,7,"0.1","integrated",15.7142857142857
"Tikitapu","1","Stratified",2010-04-22,1.2,0.002,6.2,4.94,173,4,"0.1","integrated",43.25
"Rotoma","1","Stratified",2010-05-17,1.1,0.005,7.3,15.8,116,3,"0.1","integrated",38.6666666666667
"Rotoehu","3","Polymictic",2010-05-17,13.45,0.004,8.3,2.15,397.5,76,"0.1","integrated",5.23026315789474
"Rotoiti","Okawa","Stratified",2010-05-17,5.2,0.002,7.1,3.76,293,23.5,"0.1","integrated",12.468085106383
"Okataina","1","Stratified",2010-05-17,3,0.002,7.4,11.9,113,8,"0.1","integrated",14.125
"Rotorua","5","Polymictic",2010-05-18,NA,NA,NA,1.9,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2010-05-18,NA,NA,NA,1.95,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2010-05-18,1.7,0.002,7,4.51,200,5,"0.1","integrated",40
"Okareka","1","Stratified",2010-05-18,4.1,0.001,7.4,9.5,229,8,"0.1","integrated",28.625
"Rotoehu","3","Polymictic",2010-05-18,13.9,0.003,8.2,2.325,366,56,"0.1","integrated",6.53571428571429
"Rotoiti","Okawa","Stratified",2010-05-18,5.2,0.003,7,4.514,291,23,"0.1","integrated",12.6521739130435
"Rotoiti","3","Stratified",2010-05-18,7.6,0.003,7.2,7.44285714285714,257,18,"0.1","integrated",14.2777777777778
"Tarawera","5","Stratified",2010-05-18,1.4,0.001,7.8,10.1,93,7,"0.1","integrated",13.2857142857143
"Okaro","1","Stratified",2010-05-19,13.3,0.01,7.4,4.75,444,26,"0.1","integrated",17.0769230769231
"Rerewhakaaitu","1","Polymictic",2010-05-19,4.7,0.005,7.4,4.22,412,14,"0.1","integrated",29.4285714285714
"Rotomahana","2","Stratified",2010-05-19,6.7,0.001,7.3,NA,158,17,"0.1","integrated",9.29411764705882
"Rotoma","1","Stratified",2010-06-14,1.2,0.006,6.5,14.75,114,4,"0.1","integrated",28.5
"Rotoiti","Okawa","Stratified",2010-06-14,5.05,0.004,6.9,5.268,266,23,"0.1","integrated",11.5652173913043
"Rotoiti","3","Stratified",2010-06-14,9,0.004,6.7,7.25714285714286,194,29,"0.1","integrated",6.68965517241379
"Okataina","1","Stratified",2010-06-14,2.7,0.004,7,10.15,116,12,"0.1","integrated",9.66666666666667
"Rotorua","5","Polymictic",2010-06-15,NA,NA,NA,1.5,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2010-06-15,NA,NA,NA,1.5,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2010-06-15,2.1,0.0025,7.025,4.95,194,5.5,"0.1","integrated",35.2727272727273
"Okareka","1","Stratified",2010-06-15,4.2,0.003,7.6,6.87,193,11,"0.1","integrated",17.5454545454545
"Rotoehu","3","Polymictic",2010-06-15,14.25,0.003,8.15,2.5,364,55,"0.1","integrated",6.61818181818182
"Rotoiti","Okawa","Stratified",2010-06-15,4.9,0.005,6.8,4.234,241,23,"0.1","integrated",10.4782608695652
"Tarawera","5","Stratified",2010-06-15,1.6,0.002,7.7,9.85,88,17,"0.1","integrated",5.17647058823529
"Okaro","1","Stratified",2010-06-16,1.9,0.409,7.1,5.115,808,66,"0.1","integrated",12.2424242424242
"Tikitapu","1","Stratified",2010-06-16,2.5,0.003,7.05,5.125,188,6,"0.1","integrated",31.3333333333333
"Rerewhakaaitu","1","Polymictic",2010-06-16,5.5,0.01,7.5,3.41,372,11,"0.1","integrated",33.8181818181818
"Rotoehu","3","Polymictic",2010-06-16,14.6,0.003,8.1,3.155,362,54,"0.1","integrated",6.7037037037037
"Rotomahana","2","Stratified",2010-06-16,2.1,0.003,6.7,NA,200,74,"0.1","integrated",2.7027027027027
"Okaro","1","Stratified",2010-07-19,5.9,0.461,7.3,5.065,934,77,"0.1","integrated",12.1298701298701
"Rerewhakaaitu","1","Polymictic",2010-07-19,3,0.006,7.3,3.375,399,13,"0.1","integrated",30.6923076923077
"Rotoehu","3","Polymictic",2010-07-19,9.25,0.003,7.95,3.81,312.5,45.5,"0.1","integrated",6.86813186813187
"Rotomahana","2","Stratified",2010-07-19,2.3,0.003,6.9,NA,212,75,"0.1","integrated",2.82666666666667
"Rotoma","1","Stratified",2010-07-21,1.1,0.009,6.8,13.43,176,5,"0.1","integrated",35.2
"Rotoiti","Okawa","Stratified",2010-07-21,3.6,0.004,7.1,3.2,219,25,"0.1","integrated",8.76
"Rotoiti","3","Stratified",2010-07-21,5.9,0.008,6.9,7.07142857142857,184,37,"0.1","integrated",4.97297297297297
"Okataina","1","Stratified",2010-07-21,2.2,0.011,6.9,8.5,105,13,"0.1","integrated",8.07692307692308
"Rotoehu","3","Polymictic",2010-07-22,3.9,0.003,7.8,3.93,263,37,"0.1","integrated",7.10810810810811
"Rotorua","5","Polymictic",2010-08-01,NA,NA,NA,2.3,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2010-08-01,NA,NA,NA,2.54,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2010-08-01,2.65,0.0035,7.075,5.3,184,5,"0.1","integrated",36.8
"Okareka","1","Stratified",2010-08-01,5.3,0.003,7.65,7.35,181.5,9,"0.1","integrated",20.1666666666667
"Tarawera","5","Stratified",2010-08-01,1.4,0.002,7.5,9.05,70,18,"0.1","integrated",3.88888888888889
"Tikitapu","1","Stratified",2010-08-02,2.8,0.004,7.1,5.55,180,4,"0.1","integrated",45
"Okareka","1","Stratified",2010-08-02,6.4,0.003,7.7,7.925,170,7,"0.1","integrated",24.2857142857143
"Rotoma","1","Stratified",2010-08-16,1.4,0.005,7.3,13.7,100,6,"0.1","integrated",16.6666666666667
"Rotoehu","3","Polymictic",2010-08-16,5.45,0.003,7.8,4.05,241.5,35,"0.1","integrated",6.9
"Rotoiti","Okawa","Stratified",2010-08-16,8.6,0.009,7.35,3.6,310,31,"0.1","integrated",10
"Rotoiti","3","Stratified",2010-08-16,9.2,0.022,7.3,6.88571428571429,190,29,"0.1","integrated",6.55172413793103
"Okataina","1","Stratified",2010-08-16,2.9,0.008,7.2,8.35,80,12,"0.1","integrated",6.66666666666667
"Rotoehu","3","Polymictic",2010-08-17,7,0.003,7.8,3.625,220,33,"0.1","integrated",6.66666666666667
"Okaro","1","Stratified",2010-08-18,11,0.3795,7.4,2.7,912,83,"0.1","integrated",10.9879518072289
"Okaro","1","Stratified",2010-08-22,16.1,0.298,7.5,2.75,890,89,"0.1","integrated",10
"Rerewhakaaitu","1","Polymictic",2010-08-22,6,0.011,7.55,3,330,12,"0.1","integrated",27.5
"Rotomahana","2","Stratified",2010-08-22,2.8,0.012,7.05,NA,190,41,"0.1","integrated",4.63414634146341
"Rotorua","5","Polymictic",2010-08-25,NA,NA,NA,2.5,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2010-08-25,NA,NA,NA,2.15,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2010-08-25,2.5,0.003,7.35,5.8,170,7,"0.1","integrated",24.2857142857143
"Okareka","1","Stratified",2010-08-25,6.5,0.007,7.65,8.5,170,9,"0.1","integrated",18.8888888888889
"Tarawera","5","Stratified",2010-08-25,1.5,0.002,7.75,9.85,70,19,"0.1","integrated",3.68421052631579
"Rotoma","1","Stratified",2010-09-26,1.4,0.005,6.9,14.03,90,5,"0.1","integrated",18
"Rotoehu","3","Polymictic",2010-09-26,6,0.0025,7.8,3.2,210,26.5,"0.1","integrated",7.92452830188679
"Rotoiti","Okawa","Stratified",2010-09-26,5,0.005,7.3,3.77,210,30,"0.1","integrated",7
"Rotoiti","3","Stratified",2010-09-26,9.4,0.004,7.3,6.7,180,24,"0.1","integrated",7.5
"Okataina","1","Stratified",2010-09-26,2.7,0.001,7.3,8.1,90,9,"0.1","integrated",10
"Rotorua","5","Polymictic",2010-09-27,NA,NA,NA,2.9,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2010-09-27,NA,NA,NA,2.995,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2010-09-27,2.3,0.003,7.6,6.21,160,5,"0.1","integrated",32
"Okareka","1","Stratified",2010-09-27,3,0.003,7.4,9.11,160,7,"0.1","integrated",22.8571428571429
"Rotoehu","3","Polymictic",2010-09-27,5,0.002,7.8,3.5,200,20,"0.1","integrated",10
"Tarawera","5","Stratified",2010-09-27,1.6,0.001,7.6,8.85,80,19,"0.1","integrated",4.21052631578947
"Okaro","1","Stratified",2010-09-28,11.4,0.298,7.5,2.8,780,60,"0.1","integrated",13
"Rerewhakaaitu","1","Polymictic",2010-09-28,3.5,0.006,7.4,4,350,12,"0.1","integrated",29.1666666666667
"Rotomahana","2","Stratified",2010-09-28,8.2,0.018,7,NA,180,41,"0.1","integrated",4.39024390243902
"Rotoma","1","Stratified",2010-10-18,1.2,0.006,7,10.5,110,5,"0.1","integrated",22
"Rotoehu","3","Polymictic",2010-10-18,5.1,0.0025,7.8,3.8,230,24,"0.1","integrated",9.58333333333333
"Rotoiti","Okawa","Stratified",2010-10-18,6.2,0.003,7,3.25,250,38,"0.1","integrated",6.57894736842105
"Rotoiti","3","Stratified",2010-10-18,5.2,0.004,7.1,7.9,190,30,"0.1","integrated",6.33333333333333
"Okataina","1","Stratified",2010-10-18,1.3,0.002,7.3,7.85,90,11,"0.1","integrated",8.18181818181818
"Rotorua","5","Polymictic",2010-10-19,NA,NA,NA,2.95,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2010-10-19,NA,NA,NA,2.55,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2010-10-19,2,0.004,7.3,6,160,4,"0.1","integrated",40
"Okareka","1","Stratified",2010-10-19,4.1,0.005,7.8,8.65,180,9,"0.1","integrated",20
"Rotoehu","3","Polymictic",2010-10-19,5.2,0.003,7.8,3.54,260,28,"0.1","integrated",9.28571428571429
"Tarawera","5","Stratified",2010-10-19,0.8,0.004,8,9.4,90,22,"0.1","integrated",4.09090909090909
"Okaro","1","Stratified",2010-10-25,1.4,0.007,10.4,0.7,1670,85,"0.1","integrated",19.6470588235294
"Rerewhakaaitu","1","Polymictic",2010-10-25,2.1,0.007,7.6,4.35,360,13,"0.1","integrated",27.6923076923077
"Rotomahana","2","Stratified",2010-10-25,4.1,0.004,7.2,NA,150,39,"0.1","integrated",3.84615384615385
"Rotoma","1","Stratified",2010-11-15,0.7,0.004,7.6,11.67,90,5,"0.1","integrated",18
"Rotoehu","3","Polymictic",2010-11-15,5.1,0.004,7.9,3.28,240,22,"0.1","integrated",10.9090909090909
"Rotoiti","Okawa","Stratified",2010-11-15,3,0.003,7.1,3,190,35,"0.1","integrated",5.42857142857143
"Rotoiti","3","Stratified",2010-11-15,3.3,0.004,6.9,8.158,160,24,"0.1","integrated",6.66666666666667
"Okataina","1","Stratified",2010-11-15,1,0.001,7.5,11.43,80,11,"0.1","integrated",7.27272727272727
"Rotorua","5","Polymictic",2010-11-16,NA,NA,NA,3.2,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2010-11-16,NA,NA,NA,3.4,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2010-11-16,1.8,0.003,7.9,6.06,150,4,"0.1","integrated",37.5
"Okareka","1","Stratified",2010-11-16,2.6,0.036,7.6,7.5,170,7,"0.1","integrated",24.2857142857143
"Tarawera","5","Stratified",2010-11-16,0.7,0.001,7.8,7.94,70,21,"0.1","integrated",3.33333333333333
"Okaro","1","Stratified",2010-11-17,190,0.026,10.5,0.55,2410,75,"0.1","integrated",32.1333333333333
"Rerewhakaaitu","1","Polymictic",2010-11-17,4.8,0.005,7.3,4.8,410,11,"0.1","integrated",37.2727272727273
"Rotomahana","2","Stratified",2010-11-17,3,0.004,7.3,NA,200,47,"0.1","integrated",4.25531914893617
"Rotoma","1","Stratified",2010-12-13,0.7,0.008,7.1,14.2,120,6,"0.1","integrated",20
"Rotoehu","3","Polymictic",2010-12-13,4.5,0.008,8.25,2.43,240,25,"0.1","integrated",9.6
"Rotoiti","Okawa","Stratified",2010-12-13,2.7,0.009,6.9,5.3,270,48,"0.1","integrated",5.625
"Rotoiti","3","Stratified",2010-12-13,3.8,0.009,7.1,8.416,220,24,"0.1","integrated",9.16666666666667
"Okataina","1","Stratified",2010-12-13,1.6,0.009,7.6,10.63,90,11,"0.1","integrated",8.18181818181818
"Rotorua","5","Polymictic",2010-12-14,NA,NA,NA,3.28,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2010-12-14,NA,NA,NA,2.95,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2010-12-14,1.6,0.0055,7.45,6.61,150,4,"0.1","integrated",37.5
"Okareka","1","Stratified",2010-12-14,2.05,0.025,7.7,8.8,190,7.5,"0.1","integrated",25.3333333333333
"Rotoehu","3","Polymictic",2010-12-14,3.9,0.012,8.6,2.515,240,28,"0.1","integrated",8.57142857142857
"Tarawera","5","Stratified",2010-12-14,1.2,0.01,7.9,10.8,80,21,"0.1","integrated",3.80952380952381
"Okaro","1","Stratified",2010-12-15,104,0.013,9.9,0.3,2240,48,"0.1","integrated",46.6666666666667
"Tikitapu","1","Stratified",2010-12-15,1.4,0.008,7,7.505,150,4,"0.1","integrated",37.5
"Okareka","1","Stratified",2010-12-15,1.5,0.014,7.8,8.65,210,8,"0.1","integrated",26.25
"Rerewhakaaitu","1","Polymictic",2010-12-15,6.1,0.01,7.2,4.47,330,9,"0.1","integrated",36.6666666666667
"Rotomahana","2","Stratified",2010-12-15,8,0.007,7.3,NA,190,56,"0.1","integrated",3.39285714285714
"Rotoma","1","Stratified",2011-01-17,1,0.004,7.8,15.8,120,6,"0.1","integrated",20
"Rotoehu","3","Polymictic",2011-01-17,6.3,0.009,8.5,2.6,290,29.5,"0.1","integrated",9.83050847457627
"Rotoiti","Okawa","Stratified",2011-01-17,10.7,0.005,7.4,2.34,370,66,"0.1","integrated",5.60606060606061
"Rotoiti","3","Stratified",2011-01-17,6.4,0.011,7.1,8.674,250,22,"0.1","integrated",11.3636363636364
"Okataina","1","Stratified",2011-01-17,1.8,0.018,7.9,10.4,120,15,"0.1","integrated",8
"Rotoehu","3","Polymictic",2011-01-18,8.7,0.006,8.4,3.75,340,31,"0.1","integrated",10.9677419354839
"Okaro","1","Stratified",2011-01-19,9.9,0.04,9.4,1.8,1010,30,"0.1","integrated",33.6666666666667
"Rerewhakaaitu","1","Polymictic",2011-01-19,2.9,0.028,7,3.62,400,11,"0.1","integrated",36.3636363636364
"Rotomahana","2","Stratified",2011-01-19,17.8,0.015,7.3,NA,250,56,"0.1","integrated",4.46428571428571
"Rotorua","5","Polymictic",2011-01-25,NA,NA,NA,2.2,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2011-01-25,NA,NA,NA,2.1,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2011-01-25,0.9,0.012,7.2,8.4,170,4,"0.1","integrated",42.5
"Okareka","1","Stratified",2011-01-25,1.5,0.005,7.8,8.5,200,10,"0.1","integrated",20
"Tarawera","5","Stratified",2011-01-25,1.3,0.005,7.9,8.6,90,20,"0.1","integrated",4.5
"Rotoma","1","Stratified",2011-02-14,0.7,0.005,7.2,15.6,110,6,"0.1","integrated",18.3333333333333
"Rotoehu","3","Polymictic",2011-02-14,3.2,0.005,8.3,4.9,258,29,"0.1","integrated",8.89655172413793
"Rotoiti","Okawa","Stratified",2011-02-14,38.8,0.006,9.3,1.353,635,46,"0.1","integrated",13.804347826087
"Rotoiti","3","Stratified",2011-02-14,7.8,0.011,7.2,8.932,242,23,"0.1","integrated",10.5217391304348
"Okataina","1","Stratified",2011-02-14,1.9,0.002,7.8,11.2,95,12,"0.1","integrated",7.91666666666667
"Rotorua","5","Polymictic",2011-02-15,NA,NA,NA,4.05,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2011-02-15,NA,NA,NA,4.2,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2011-02-15,0.8,0.015,7.1,10.65,153,4,"0.1","integrated",38.25
"Okareka","1","Stratified",2011-02-15,3.4,0.007,8.3,8.5,201,8,"0.1","integrated",25.125
"Rotoma","1","Stratified",2011-02-15,0.85,0.0095,7.1,15.4,86.5,5,"0.1","integrated",17.3
"Okataina","1","Stratified",2011-02-15,2.1,0.0025,7.75,12,98,12.5,"0.1","integrated",7.84
"Tarawera","5","Stratified",2011-02-15,1.3,0.004,7.7,9.7,83,18,"0.1","integrated",4.61111111111111
"Okaro","1","Stratified",2011-02-16,2.9,0.008,9.3,4.2,436,20,"0.1","integrated",21.8
"Rerewhakaaitu","1","Polymictic",2011-02-16,3.2,0.097,7.2,4.1,366,11,"0.1","integrated",33.2727272727273
"Rotomahana","2","Stratified",2011-02-16,8.4,0.005,7.8,NA,234,50,"0.1","integrated",4.68
"Rotoma","1","Stratified",2011-03-24,1,0.014,7,16.25,63,4,"0.1","integrated",15.75
"Rotoehu","3","Polymictic",2011-03-24,6.25,0.008,8.1,3.2,290.5,33.5,"0.1","integrated",8.67164179104478
"Rotoiti","Okawa","Stratified",2011-03-24,12.1,0.004,7.1,2.18,351,50,"0.1","integrated",7.02
"Rotoiti","3","Stratified",2011-03-24,7.4,0.005,7.1,9.19,201,14,"0.1","integrated",14.3571428571429
"Okataina","1","Stratified",2011-03-24,2.3,0.003,7.7,12.95,101,13,"0.1","integrated",7.76923076923077
"Rotoehu","3","Polymictic",2011-03-25,9.3,0.011,7.9,3.15,323,38,"0.1","integrated",8.5
"Rotorua","5","Polymictic",2011-03-27,NA,NA,NA,2.85,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2011-03-27,NA,NA,NA,2.5,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2011-03-27,1.4,0.003,6.8,10.4,153,3,"0.1","integrated",51
"Okareka","1","Stratified",2011-03-27,4.8,0.003,7.6,7.05,206,9,"0.1","integrated",22.8888888888889
"Tarawera","5","Stratified",2011-03-27,3.1,0.007,7.9,8.35,113,23,"0.1","integrated",4.91304347826087
"Okaro","1","Stratified",2011-03-28,9.3,0.006,7.5,3,415,21,"0.1","integrated",19.7619047619048
"Rerewhakaaitu","1","Polymictic",2011-03-28,4.7,0.014,7.2,4.8,393,9,"0.1","integrated",43.6666666666667
"Rotomahana","2","Stratified",2011-03-28,4.7,0.005,7.4,NA,215,58,"0.1","integrated",3.70689655172414
"Okaro","1","Stratified",2011-04-13,8.9,0.003,7.4,4.4,402,20,"0.1","integrated",20.1
"Rerewhakaaitu","1","Polymictic",2011-04-13,4.8,0.006,7.5,5.25,380,14,"0.1","integrated",27.1428571428571
"Rotomahana","2","Stratified",2011-04-13,3.2,0.003,7.3,NA,206,49,"0.1","integrated",4.20408163265306
"Rotorua","5","Polymictic",2011-04-18,NA,NA,NA,3.6,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2011-04-18,NA,NA,NA,3.8,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2011-04-18,1.55,0.0025,6.9,10.8,153,4.5,"0.1","integrated",34
"Okareka","1","Stratified",2011-04-18,4.7,0.001,7.8,5.4,207,12,"0.1","integrated",17.25
"Tarawera","5","Stratified",2011-04-18,2.8,0.001,7.9,9.2,104,21,"0.1","integrated",4.95238095238095
"Tikitapu","1","Stratified",2011-04-19,1.7,0.002,7,10.05,153,6,"0.1","integrated",25.5
"Rotoma","1","Stratified",2011-04-19,0.95,0.0085,7.1,13.25,80,5.5,"0.1","integrated",14.5454545454545
"Rotoehu","3","Polymictic",2011-04-19,8.2,0.008,7.9,3.1,311.5,35,"0.1","integrated",8.9
"Rotoiti","Okawa","Stratified",2011-04-19,9.9,0.002,7.2,2.26,330,36,"0.1","integrated",9.16666666666667
"Rotoiti","3","Stratified",2011-04-19,8.9,0.003,7.1,8.45,206,20,"0.1","integrated",10.3
"Okataina","1","Stratified",2011-04-19,2.5,0.001,7.4,10.5,106,14,"0.1","integrated",7.57142857142857
"Rotoma","1","Stratified",2011-04-20,0.9,0.003,7.2,14.14,97,7,"0.1","integrated",13.8571428571429
"Rotoehu","3","Polymictic",2011-04-20,7.1,0.005,7.9,3.1,300,32,"0.1","integrated",9.375
"Rotoma","1","Stratified",2011-05-22,1.5,0.011,7,15.03,95,4,"0.1","integrated",23.75
"Rotoehu","3","Polymictic",2011-05-22,9.95,0.0045,7.75,3.1,330,32.5,"0.1","integrated",10.1538461538462
"Rotoiti","Okawa","Stratified",2011-05-22,9.6,0.003,7.15,2.35,303.5,36.5,"0.1","integrated",8.31506849315068
"Rotoiti","3","Stratified",2011-05-22,9.35,0.0035,7.15,6.75,193,21.5,"0.1","integrated",8.97674418604651
"Okataina","1","Stratified",2011-05-22,1.9,0.001,7.2,10.8,98,12,"0.1","integrated",8.16666666666667
"Rotorua","5","Polymictic",2011-05-23,NA,NA,NA,2.7,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2011-05-23,NA,NA,NA,2.65,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2011-05-23,1.55,0.0045,6.6,9.3,154.5,5,"0.1","integrated",30.9
"Okareka","1","Stratified",2011-05-23,3.6,0.003,7.4,7.75,196,9,"0.1","integrated",21.7777777777778
"Rotoehu","3","Polymictic",2011-05-23,12.8,0.004,7.6,4.325,360,33,"0.1","integrated",10.9090909090909
"Rotoiti","Okawa","Stratified",2011-05-23,9.3,0.004,7.1,3.35,277,37,"0.1","integrated",7.48648648648649
"Rotoiti","3","Stratified",2011-05-23,9.8,0.004,7.2,6.66,180,23,"0.1","integrated",7.82608695652174
"Tarawera","5","Stratified",2011-05-23,3.1,0.002,7.7,9.18,100,20,"0.1","integrated",5
"Tikitapu","1","Stratified",2011-05-24,1.4,0.007,6.2,8.3,156,4,"0.1","integrated",39
"Okaro","1","Stratified",2011-05-26,30.1,0.075,7.3,1.55,733,70,"0.1","integrated",10.4714285714286
"Rerewhakaaitu","1","Polymictic",2011-05-26,3.2,0.005,7.3,5.6,361,9,"0.1","integrated",40.1111111111111
"Rotomahana","2","Stratified",2011-05-26,6.1,0.014,6.9,NA,239,50,"0.1","integrated",4.78
"Rotoma","1","Stratified",2011-06-19,1.6,0.028,6.9,15.5,103,6,"0.1","integrated",17.1666666666667
"Rotoehu","3","Polymictic",2011-06-19,9.85,0.0065,7.65,5.55,368,48,"0.1","integrated",7.66666666666667
"Rotoiti","Okawa","Stratified",2011-06-19,12.5,0.004,7.2,4.35,328,68,"0.1","integrated",4.82352941176471
"Rotoiti","3","Stratified",2011-06-19,9.1,0.008,6.9,6.57,203,37,"0.1","integrated",5.48648648648649
"Okataina","1","Stratified",2011-06-19,2.3,0.004,7.2,10.5,98,13,"0.1","integrated",7.53846153846154
"Rotorua","5","Polymictic",2011-06-20,NA,NA,NA,2.52,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2011-06-20,NA,NA,NA,2.9,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2011-06-20,2.2,0.004,6.8,7.3,156,4,"0.1","integrated",39
"Okareka","1","Stratified",2011-06-20,5.1,0.002,7.5,7.27,166,9,"0.1","integrated",18.4444444444444
"Rotoehu","3","Polymictic",2011-06-20,6.9,0.009,7.7,5.475,376,63,"0.1","integrated",5.96825396825397
"Tarawera","5","Stratified",2011-06-20,2.8,0.018,7.8,8.25,87,18,"0.1","integrated",4.83333333333333
"Rotoiti","Okawa","Stratified",2011-06-21,14.4,0.0035,7.25,5.35,315,50.5,"0.1","integrated",6.23762376237624
"Okaro","1","Stratified",2011-06-22,6.9,0.489,6.9,4.33,914,122,"0.1","integrated",7.49180327868852
"Rerewhakaaitu","1","Polymictic",2011-06-22,3.5,0.007,7.2,5.88,329,10,"0.1","integrated",32.9
"Rotomahana","2","Stratified",2011-06-22,2.6,0.035,6.7,NA,205,47,"0.1","integrated",4.36170212765957
"Rotoma","1","Stratified",2011-07-18,1.9,0.015,6.9,13.05,105,6,"0.1","integrated",17.5
"Rotoehu","3","Polymictic",2011-07-18,6.5,0.0065,7.65,5.4,326.5,43.5,"0.1","integrated",7.50574712643678
"Rotoiti","Okawa","Stratified",2011-07-18,16.3,0.003,7.3,1.4,302,33,"0.1","integrated",9.15151515151515
"Rotoiti","3","Stratified",2011-07-18,9,0.003,7,6.37,171,31,"0.1","integrated",5.51612903225806
"Okataina","1","Stratified",2011-07-18,2.9,0.004,7.3,9.95,106,12,"0.1","integrated",8.83333333333333
"Rotorua","5","Polymictic",2011-07-19,NA,NA,NA,4.45,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2011-07-19,NA,NA,NA,4.3,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2011-07-19,3.2,0.002,6.2,7.85,160,5,"0.1","integrated",32
"Okareka","1","Stratified",2011-07-19,8.7,0.004,7.3,6.76,173,10,"0.1","integrated",17.3
"Rotoehu","3","Polymictic",2011-07-19,6.1,0.004,7.6,4.7375,277,24,"0.1","integrated",11.5416666666667
"Tarawera","5","Stratified",2011-07-19,1.9,0.001,7.6,10.8,568,39,"0.1","integrated",14.5641025641026
"Okaro","1","Stratified",2011-07-20,8.6,0.562,7.3,2.975,1050,126,"0.1","integrated",8.33333333333333
"Rerewhakaaitu","1","Polymictic",2011-07-20,6.6,0.006,7.4,6.05,393,12,"0.1","integrated",32.75
"Rotomahana","2","Stratified",2011-07-20,4.2,0.014,7,NA,222,52,"0.1","integrated",4.26923076923077
"Rotoma","1","Stratified",2011-08-15,2.5,0.005,7.4,11.18,114,7,"0.1","integrated",16.2857142857143
"Rotoehu","3","Polymictic",2011-08-15,7.75,0.0035,7.85,4.075,286,30.5,"0.1","integrated",9.37704918032787
"Rotoiti","Okawa","Stratified",2011-08-15,14.7,0.003,7.3,1.44,387,47,"0.1","integrated",8.23404255319149
"Rotoiti","3","Stratified",2011-08-15,4.2,0.003,7.2,6.766,164,28,"0.1","integrated",5.85714285714286
"Okataina","1","Stratified",2011-08-15,5.1,0.003,7.4,7.64,105,15,"0.1","integrated",7
"Rotorua","5","Polymictic",2011-08-16,NA,NA,NA,5.25,NA,NA,"0.1","integrated",NA
"Rotorua","2","Polymictic",2011-08-16,NA,NA,NA,4.9,NA,NA,"0.1","integrated",NA
"Tikitapu","1","Stratified",2011-08-16,2.9,0.0025,6.45,7.9,163,5.5,"0.1","integrated",29.6363636363636
"Okareka","1","Stratified",2011-08-16,8.3,0.004,7.7,7.3,176,10,"0.1","integrated",17.6
"Rotoehu","3","Polymictic",2011-08-16,9.4,0.003,8.1,3.4625,295,37,"0.1","integrated",7.97297297297297
